Files already downloaded and verified
torch.Size([1024, 3, 32, 32]) torch.Size([1024])
--------------------------------------------------------------------------------
validating pair distance...
--------------------------------------------------------------------------------

step:   0, attack: 0.22, loss: 2.40, ce: 2.02, reg: 525.76, reg_best: inf  
step:  10, attack: 1.00, loss: 0.25, ce: 0.02, reg: 234.31, reg_best: 234.31  
step:  20, attack: 1.00, loss: 0.15, ce: 0.02, reg: 91.63, reg_best: 91.63  
step:  30, attack: 1.00, loss: 0.18, ce: 0.02, reg: 69.65, reg_best: 68.97  
step:  40, attack: 1.00, loss: 0.23, ce: 0.03, reg: 57.87, reg_best: 57.87  
step:  50, attack: 1.00, loss: 0.30, ce: 0.03, reg: 54.12, reg_best: 50.51  
step:  60, attack: 1.00, loss: 0.42, ce: 0.05, reg: 49.16, reg_best: 47.99  
step:  70, attack: 1.00, loss: 0.59, ce: 0.08, reg: 45.22, reg_best: 44.70  
step:  80, attack: 0.98, loss: 0.84, ce: 0.12, reg: 42.81, reg_best: 42.42  
step:  90, attack: 0.98, loss: 1.19, ce: 0.12, reg: 41.70, reg_best: 39.06  
step: 100, attack: 0.97, loss: 1.67, ce: 0.20, reg: 38.33, reg_best: 37.05  
step: 110, attack: 0.88, loss: 2.36, ce: 0.32, reg: 35.74, reg_best: 34.65  
step: 120, attack: 0.95, loss: 2.32, ce: 0.31, reg: 35.90, reg_best: 33.72  
step: 130, attack: 0.88, loss: 2.28, ce: 0.32, reg: 33.90, reg_best: 33.72  
step: 140, attack: 0.88, loss: 2.26, ce: 0.40, reg: 33.48, reg_best: 33.72  
step: 150, attack: 0.95, loss: 2.35, ce: 0.28, reg: 35.71, reg_best: 33.37  
step: 160, attack: 0.87, loss: 2.37, ce: 0.34, reg: 33.98, reg_best: 33.37  
step: 170, attack: 0.89, loss: 2.25, ce: 0.41, reg: 33.03, reg_best: 33.37  
step: 180, attack: 0.95, loss: 2.24, ce: 0.32, reg: 34.35, reg_best: 33.34  
step: 190, attack: 0.84, loss: 3.20, ce: 0.57, reg: 31.11, reg_best: 33.24  
step: 200, attack: 0.95, loss: 1.89, ce: 0.31, reg: 34.06, reg_best: 33.24  
step: 210, attack: 0.97, loss: 1.84, ce: 0.24, reg: 34.83, reg_best: 33.24  
step: 220, attack: 0.95, loss: 1.89, ce: 0.27, reg: 35.01, reg_best: 33.17  
step: 230, attack: 0.95, loss: 1.85, ce: 0.30, reg: 33.74, reg_best: 33.17  
step: 240, attack: 0.97, loss: 1.91, ce: 0.22, reg: 35.50, reg_best: 33.17  
step: 250, attack: 0.94, loss: 1.85, ce: 0.32, reg: 33.33, reg_best: 33.17  
step: 260, attack: 0.96, loss: 1.89, ce: 0.29, reg: 34.26, reg_best: 32.86  
step: 270, attack: 0.80, loss: 2.71, ce: 0.38, reg: 31.93, reg_best: 32.86  
step: 280, attack: 0.85, loss: 2.67, ce: 0.55, reg: 30.61, reg_best: 31.86  
step: 290, attack: 0.92, loss: 2.67, ce: 0.39, reg: 31.83, reg_best: 31.59  
step: 300, attack: 0.68, loss: 2.99, ce: 0.49, reg: 30.58, reg_best: 31.59  
step: 310, attack: 0.86, loss: 2.72, ce: 0.39, reg: 33.03, reg_best: 31.38  
step: 320, attack: 0.84, loss: 2.65, ce: 0.55, reg: 30.69, reg_best: 31.38  
step: 330, attack: 0.88, loss: 2.58, ce: 0.42, reg: 31.08, reg_best: 31.38  
step: 340, attack: 0.88, loss: 2.70, ce: 0.36, reg: 32.32, reg_best: 31.38  
step: 350, attack: 0.93, loss: 2.57, ce: 0.37, reg: 31.84, reg_best: 31.38  
